"date d'inscription (ou de requête)","Quel âge avez-vous ?","Vous êtes...","Quelle est votre langue maternelle ?","Quelle langue enseignez-vous ?","Apprenez vous une nouvelle langue ?","Laquelle ?","Avez-vous besoin d'apprendre un nouvel alphabet ?","Vous apprenez...","Avez-vous besoin d'enseigner un nouvel alphabet ?","Depuis combien de temps ?","Comment évaluez-vous votre niveau de compétence dans la langue apprise ?","Dans quelle mesure ces outils vous ont aidés / vous aident ?","Quelles sont les principales difficultés que vous rencontrez dans votre apprentissage ?","Utilisez-vous l'un ou plusieurs de ces outils","Quels sont les noms des outils que vous utilisez ?","Comment utilisez-vous les outils de discussion ?","A quelle fréquence utilisez-vous ces technologies ?","Dans quel(s) but(s) utilisez-vous ces outils ?","Quelles sont les ressources que vous utilisez ?","Comment utilisez-vous les technologies dans votre enseignement et quels sont leurs avantages et inconvénients ?","Quelles fonctionnalités souhaiteriez-vous voir améliorées sur ces outils ?","Dans quelle mesure faites vous confiance aux outils d'intelligence artificielles ?","Quelles sont les ressources que vous utilisez durant vos cours ?","IP de soumission","Date de la dernière mise à jour","Dans quel(s) but(s) utilisez-vous ces outils ?","présentation ID"
"juil. 23, 2024",20,"Etudiant, apprenant d'une nouvelle langue",English,,Oui,Spanish,Non,"Un peu des deux",,"Plus de 2 ans",8,7,"La grammaire / conjugaison
La compréhension orale",,"Just Duolingo at the moment, but I took formal Spanish classes in the past.",,"Tous les jours","Pour bénéficier d'un apprentissage personnalisé
Pour pratiquer la langue de manière interactive et ludique","Livres
Sites internet traditionnels
Applications mobiles",,"Some questions are quite rigid, as in they only accept a specific answer even if there are multiple correct answers. Also, many of the sentence prompts are not sentences that would often be heard in real life. I think the accepted answers could be more flexible and the sentences could be more practical.",2,,107.3.184.197,,,5975562507911600685
"août 1, 2024",20,"Etudiant, apprenant d'une nouvelle langue",Japanese,,Oui,English,Non,"Un peu des deux",,"Plus de 2 ans",5,5,"L'expression orale
L'expression écrite
La compréhension orale
La compréhension écrite","Outils de discussions (ChatGPT, Perplexity, LangoTalk, ...)","ChatGPT ",,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour bénéficier d'un apprentissage personnalisé
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique","Livres
Sites internet traditionnels
Outils d'intelligence artificielle
Applications mobiles",,,5,,118.240.86.145,"août 1, 2024",,5983023275416145560
"juil. 17, 2024",21,"Etudiant, apprenant d'une nouvelle langue",Française,,Oui,"Coréen ",Oui,"Seul (autodidacte)",,"Plus de 2 ans",3,8,"L'expression orale
Le vocabulaire
La grammaire / conjugaison",,"Instagram, YouTube, Papago",,"Au moins une fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues
Pour bénéficier d'un apprentissage personnalisé
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Sites internet traditionnels
Applications mobiles
Réseaux sociaux",,"Je n'en ai pas.",7,,91.165.170.8,,,5970515638076546046
"août 1, 2024",21,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,英語,Non,"Seul (autodidacte)",,"Plus de 2 ans",7,9,"L'expression orale
La compréhension orale",,Netflix,,"Tous les jours","Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression",ドラマ,,,8,,113.39.108.1,,,5983027121807239597
"août 1, 2024",22,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,英語　韓国語,Non,"Seul (autodidacte)",,"Plus de 2 ans",3,5,"L'expression orale
L'expression écrite
Le vocabulaire
La grammaire / conjugaison",,"Hellochat duolingo",,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Applications mobiles",,"なし
",0,,133.25.247.208,,,5983025528029899349
"avr. 30, 2024",23,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,"Italien et anglais",,"Un peu des deux",Non,,,,"La grammaire / conjugaison
L'expression orale
La compréhension orale","Outils de traduction ? (Google traduction, Deepl...)","DeepL, Google Translate",,"Au moins une fois par semaine","Pour progresser à mon propre rythme et sans pression","Sites internet traditionnels
Outils d'intelligence artificielle",,Feur,,,79.141.0.52,"août 25, 2024",,5902796102506152802
"mai 5, 2024",23,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Japonais,Oui,"Seul (autodidacte)",,"Moins de 6 mois",,7,L'alphabet,,"Cours de japonais de Julien Fontanier ",,"Au moins 3 fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour progresser à mon propre rythme et sans pression","Livres
Applications mobiles",,,3,,92.169.251.192,,,5907182842919671854
"août 8, 2024",23,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Italien,Non,"Seul (autodidacte)",,"Plus de 2 ans",7,6,"L'expression orale
La grammaire / conjugaison
La compréhension orale",,"DeepL, Google Translate",,"Au moins une fois par mois","Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Sites internet traditionnels
Applications mobiles",,"Text to Speech",8,,91.171.12.168,,,5989346318615533823
"mai 6, 2024",24,"Etudiant, apprenant d'une nouvelle langue",Francais,,Oui,Darija,Oui,"Seul (autodidacte)",,"Moins de 6 mois",,6,"L'expression orale
Le vocabulaire
La compréhension orale",,Duolingo,,"Tous les jours","Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Sites internet traditionnels
Applications mobiles",,"Mise en place d'un système intéractif de question/réponse
Mise en place d'un système de récompense non culpabilisant (pas de day streak par ex)",,,86.214.41.71,,,5908046661716822973
"mai 6, 2024",24,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Allemand,Non,"Seul (autodidacte)",,"Plus de 2 ans",7,7,"L'expression écrite
Le vocabulaire",,"Quizlet, duolingon linguee",,"Au moins une fois par semaine","Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour progresser à mon propre rythme et sans pression","Sites internet traditionnels
Cours avec un professeur
Applications mobiles",,,4,,82.125.50.26,"août 25, 2024",,5908070976209874570
"mai 11, 2024",24,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,anglais,Non,"Seul (autodidacte)",,"Moins de 6 mois",8,7,"L'expression orale
Le vocabulaire",,"Duolingo, global exam",,"Au moins une fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Sites internet traditionnels
Applications mobiles",,,9,,90.21.228.180,,,5912715450817308661
"juil. 17, 2024",24,"Professeur de langue",German,English,,,,,Non,"Plus de 2 ans",,9,,"Outils de discussions (ChatGPT, Perplexity, LangoTalk, ...)
Outils de traduction (Google traduction, Deepl...)
Autres outils (Duolingo, Rosetta Stone, Anki ...)","Anki, ChatGPT, google translate","Génération d'exercices","Au moins une fois par semaine",,"Outils d'intelligence artificielle","Use google translate in class (no books needed and fast) but sometimes wrong translation, use ChatGPT to generate exercises with specific purpose (helps to create sheets etc.), use anki to create shared vocabulary",,7,"Livres
Sites internet traditionnels
Outils d'intelligence artificielle",176.6.7.127,"août 25, 2024","Pour la personnalisation de l'enseignement
For creating exercises in lessons and for the students to search for words during writing tasks",5970485707211676907
"juil. 23, 2024",24,"Etudiant, apprenant d'une nouvelle langue",Russian,,Oui,German,Oui,"Seul (autodidacte)",,"Entre 6 mois et 1 an",6,8,"L'expression orale
La compréhension orale
La compréhension écrite",,"Duolingo, Babbel, Deutche Welle, and some textbooks",,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour progresser à mon propre rythme et sans pression","Livres
Sites internet traditionnels
Outils d'intelligence artificielle
Applications mobiles",,"An explanation for what I did wrong and other acceptable ways of saying it",4,,73.225.178.96,,,5974964116986243929
"juil. 24, 2024",24,"Etudiant, apprenant d'une nouvelle langue","Japonais ",,Oui,"Français ",Non,"Seul (autodidacte)",,"Plus de 2 ans",5,6,"La compréhension orale",,"Podcast, France 24",,"Au moins une fois par semaine","Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Applications mobiles",,,6,,106.154.144.203,,,5976270533026178857
"mai 5, 2024",25,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Suédois,Non,"Seul (autodidacte)",,"Entre 1 an et 2 ans",7,9,"L'expression orale
Le vocabulaire
La compréhension orale",,"Livres de langue, Duolingo (pour le vocabulaire), podcasts (pour l'oral)",,"Au moins 3 fois par semaine","Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Applications mobiles",,"Plus de réalisme dans les exemples
Explications sur l'origine des mots
Aide sur la prononciation",6,,81.223.20.46,,,5907180546402097226
"août 1, 2024",25,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,中国語,Oui,"Seul (autodidacte)",,"Moins de 6 mois",1,10,発音,,ハロートーク,,"Tous les jours","Pour pratiquer la langue de manière interactive et ludique","Livres
Applications mobiles",,　　,6,,126.194.200.204,"août 25, 2024",,5983026214026382995
"juil. 25, 2024",26,"Professeur de langue",日本語,英語,,,,,Non,"Plus de 2 ans",,8,,"Outils de discussions (ChatGPT, Perplexity, LangoTalk, ...)
Outils de traduction (Google traduction, Deepl...)",,"Correction de phrases","Au moins une fois par semaine",,,,,7,"Livres
Sites internet traditionnels
Outils d'intelligence artificielle",121.92.169.37,,"Pour la correction automatique
Pour l'élaboration des cours",5977268717397278706
"juil. 15, 2024",27,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,"Japonais ",Non,"Un peu des deux",,"Plus de 2 ans",7,7,"L'expression orale
Le vocabulaire
La compréhension écrite",,"Rosetta Stone, Itaki",,"Au moins 3 fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues
Pour bénéficier d'un apprentissage personnalisé
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Outils d'intelligence artificielle
Cours avec un professeur
Applications mobiles",,,9,,184.162.111.200,,,5968777020023314031
"juil. 16, 2024",27,"Etudiant, apprenant d'une nouvelle langue",German,,Oui,,Oui,"Seul (autodidacte)",,"Plus de 2 ans",9,2,"L'expression orale",,,,"Tous les jours","Pour progresser à mon propre rythme et sans pression","Livres
Applications mobiles
Talking with the people that speak the language ",,,6,,80.187.102.234,"août 25, 2024",,5969460504322117798
"juil. 22, 2024",28,"Etudiant, apprenant d'une nouvelle langue",English,,Oui,French,Non,"Seul (autodidacte)",,"Entre 6 mois et 1 an",4,8,"L'expression orale
L'expression écrite","Outils de discussions (ChatGPT, Perplexity, LangoTalk, ...)","Linguno, Clozemaster, Talkpal AI, ChatGPT, graded readers, CI vids on YouTube",,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique","Livres
Sites internet traditionnels
Outils d'intelligence artificielle
Applications mobiles",,"The option to quiz oneself with questions *in* the target language about content/passages. It would be nice to see a text bubble conversation (with gaps) and be asked to draft messages that would fit in logically, while also being grammatically correct.",6,,172.56.196.178,"août 1, 2024",,5974905358717299324
"avr. 30, 2024",29,"Etudiant, apprenant d'une nouvelle langue",Français,,Oui,Japonais,,"Un peu des 2",Oui,"Entre 1 an et 2 ans",,"Très positive",L'alphabet,"ChatBot (ChatGPT, IA de discussion, LangoTalk, ...)
Outils de traduction ? (Google traduction, Deepl...)
Outils de lecture (text-to-speech) pour aider à la prononciation
Outils de correction de prononciation (Rosetta Stone, ...)",ChatGPT,"Génération d'exercices
Correction de phrases
Discussion écrite
Discussion orale
Evaluation de niveau","Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour bénéficier d'un apprentissage personnalisé
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Sites internet traditionnels
Outils d'intelligence artificielle
Cours",,"Des réponses moins filtrées pour des raisons de censures.",,,79.141.0.52,,,5902975342509274385
"juil. 30, 2024",30,"Etudiant, apprenant d'une nouvelle langue","English ",,Oui,Portuguese,Non,"Seul (autodidacte)",,"Entre 1 an et 2 ans",5,7,"L'expression orale
La grammaire / conjugaison
La compréhension orale",,"Duolingo ",,"Tous les jours","Pour réduire les coûts liés à l'apprentissage des langues
Pour pratiquer la langue de manière interactive et ludique","Applications mobiles",,N/A,2,,73.181.132.37,,,5981796947321578793
"août 1, 2024",30,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,フランス語,Non,"Un peu des deux",,"Entre 1 an et 2 ans",4,10,"L'expression orale
Le vocabulaire
La grammaire / conjugaison
La compréhension orale","Outils de discussions (ChatGPT, Perplexity, LangoTalk, ...)",ChatGPT,,"Tous les jours","Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique","Sites internet traditionnels
Outils d'intelligence artificielle
Cours avec un professeur
Applications mobiles",,情報の正確性,8,,60.134.95.231,"août 1, 2024",,5983029261328280635
"juil. 24, 2024",31,"Etudiant, apprenant d'une nouvelle langue",English,,Oui,French,Non,"Un peu des deux",,"Moins de 6 mois",6,10,"L'expression orale
La grammaire / conjugaison","Outils de traduction (Google traduction, Deepl...)","Duolingo, LingQ, DeepL (the only AI based thing, and only for quick sanity translations), books, dictionaries, tutor",,"Tous les jours",,"Livres
Sites internet traditionnels
Outils d'intelligence artificielle
Cours avec un professeur
Applications mobiles",,,5,,73.95.255.157,"août 25, 2024",,5976025057513965222
"août 1, 2024",41,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,English,Non,"Seul (autodidacte)",,"Plus de 2 ans",5,7,"L'expression orale
La compréhension orale","Outils de discussions (ChatGPT, Perplexity, LangoTalk, ...)",ChatGPT,,"Au moins 3 fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues
Pour pratiquer la langue de manière interactive et ludique","Livres
Outils d'intelligence artificielle
Applications mobiles",,,7,,116.82.56.143,"août 25, 2024",,5983004903411489619
"juil. 23, 2024",42,"Etudiant, apprenant d'une nouvelle langue",English,,Oui,Spanish,Non,"Seul (autodidacte)",,"Plus de 2 ans",7,,"Le vocabulaire
La grammaire / conjugaison",,,,,,,,"I'm going to link you to an article I wrote recently. I'd like to improve everything in the 'Weaknesses' section: https://oh-yeah-sarah.medium.com/how-useful-are-ai-language-tutors-and-will-they-steal-teachers-jobs-de4eeb69a311",4,,88.98.218.32,,,5975435392383958194
"juil. 23, 2024",47,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,フランス語,Non,"Avec un professeur",,"Entre 6 mois et 1 an",1,7,"L'expression orale
Le vocabulaire
La compréhension orale","Outils de traduction (Google traduction, Deepl...)","Duolingo DeepL google翻訳　papago",,"Tous les jours","Pour pratiquer la langue de manière interactive et ludique
Pour progresser à mon propre rythme et sans pression","Livres
Cours avec un professeur
Applications mobiles
Outils d'intelligence artificielle
翻訳アプリ",,自分の声が録音できる機能の追加など。,8,,138.64.102.47,"août 25, 2024",,5975110037423888184
"juil. 23, 2024",53,"Etudiant, apprenant d'une nouvelle langue","English (USA)",,Oui,Spanish,Non,"Un peu des deux",,"Plus de 2 ans",6,9,"La grammaire / conjugaison
La compréhension orale",,"Babbel, YouTube, Memrise, reverso.net, movies/series with Spanish subtitles on",,"Au moins 3 fois par semaine","Pour bénéficier d'un apprentissage personnalisé
Pour gagner en flexibilité dans mes horaires d'apprentissage.
Pour pratiquer la langue de manière interactive et ludique
To progress faster than I could in a traditional class (like at Instituto Cervantes)","Livres
Sites internet traditionnels
Applications mobiles
Online small group classes (Babbel)",,"Not sure which tools you mean. The ones I use, or the AI tools you asked about in the previous question? You should reword this item to be more specific.",0,,185.199.103.72,,,5975040872734598528
"août 1, 2024",53,"Etudiant, apprenant d'une nouvelle langue",日本語,,Oui,インドネシア語,Non,"Seul (autodidacte)",,"Moins de 6 mois",,1,"L'expression orale
L'expression écrite
Le vocabulaire
La grammaire / conjugaison
La compréhension orale
La compréhension écrite",,"hellow Word",,"Au moins 3 fois par semaine","Pour réduire les coûts liés à l'apprentissage des langues","Sites internet traditionnels
Applications mobiles",,"安く、簡単に操作
",1,,106.136.198.109,,,5983005669014210817
"juil. 23, 2024",55,"Professeur de langue",English,"English, Spanish",,,,,Non,"Plus de 2 ans",,8,,"Outil de reconnaissance vocale (SpeechRecognition, SpeechNotes, ...) pour pratiquer la prononciation",Praat,,"Au moins 3 fois par semaine",,,"The use of PRAAT allows me to show how the mouth / tongue need to be moved to show vowel quality.  An initial apprehension on the part of the student is always a disadvantage.",,3,"Livres
Sites internet traditionnels
Applications mobiles",139.94.248.184,,"Pour la pratique de la prononciation",5974951974814209922
